,fighter_name,date_rmean,knock_down_rmean,sig_strike_pct_rmean,takdown_pct_rmean,submission_att_rmean,pass_rmean,rev_rmean,knock_down,sig_strikes,sig_strike_pct,total_strikes,takedown,takdown_pct,submission_att,pass,rev,head,body,leg,distance,clinch,ground,height,weight,reach,stance,DOB,date,Winner,win_by,last_round,Fight_type,0_kd,1_kd,2_kd,3_kd,4_kd,5_kd,0_rev,1_rev,2_rev,3_rev,5_rev,4_rev,Orthodox,Southpaw,,Switch,Open Stance,Sideways,Submission,Decision - Unanimous,TKO - Doctor's Stoppage,KO/TKO,Decision - Split,Decision - Majority,Could Not Continue,DQ,Overturned,Other,1_round(s),3_round(s),2_round(s),5_round(s),4_round(s)
106,Alan Belcher,2010-05-08,0.6666666666666666,0.38999999999999996,0.0,0.3333333333333333,0.0,0.0,0,27 of 51,0.52,44 of 68,1 of 1,1.0,1,3,1,9 of 30,13 of 15,5 of 6,22 of 43,3 of 6,2 of 2,"6' 2""",185.0,"73""",Orthodox,"Apr 24, 1984",2010-05-08,Alan Belcher,Submission,2,Middleweight Bout,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
107,Alan Belcher,2011-09-17,0.6666666666666666,0.4566666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,25 of 39,0.64,52 of 68,0 of 0,0.0,0,2,0,24 of 38,1 of 1,0 of 0,0 of 4,1 of 1,24 of 34,"6' 2""",185.0,"73""",Orthodox,"Apr 24, 1984",2011-09-17,Alan Belcher,KO/TKO,1,Middleweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
108,Alan Belcher,2012-05-05,0.3333333333333333,0.5099999999999999,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,0,20 of 37,0.54,29 of 46,0 of 0,0.0,1,0,0,19 of 36,1 of 1,0 of 0,0 of 3,0 of 0,20 of 34,"6' 2""",185.0,"73""",Orthodox,"Apr 24, 1984",2012-05-05,Alan Belcher,KO/TKO,1,Middleweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
109,Alan Belcher,2012-12-29,0.0,0.5666666666666665,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,0,6 of 28,0.21,15 of 39,0 of 0,0.0,2,2,0,4 of 26,0 of 0,2 of 2,6 of 28,0 of 0,0 of 0,"6' 2""",185.0,"73""",Orthodox,"Apr 24, 1984",2012-12-29,Yushin Okami,Decision - Unanimous,3,Middleweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
110,Alan Belcher,2013-04-27,0.0,0.4633333333333332,0.0,1.0,1.3333333333333333,0.0,0,29 of 150,0.19,29 of 150,0 of 3,0.0,0,0,0,11 of 111,7 of 19,11 of 20,29 of 150,0 of 0,0 of 0,"6' 2""",185.0,"73""",Orthodox,"Apr 24, 1984",2013-04-27,Michael Bisping,Decision - Unanimous,3,Middleweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
111,Alan Jouban,2014-08-16,,,,,,,1,25 of 43,0.58,26 of 44,0 of 0,0.0,0,0,0,15 of 32,5 of 6,5 of 5,14 of 28,9 of 13,2 of 2,"6' 0""",170.0,"73""",Southpaw,"Nov 25, 1981",2014-08-16,Alan Jouban,KO/TKO,1,Welterweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
112,Alan Jouban,2014-11-08,1.0,0.58,0.0,0.0,0.0,0.0,0,79 of 156,0.5,96 of 173,0 of 0,0.0,0,0,0,54 of 120,14 of 22,11 of 14,71 of 143,8 of 13,0 of 0,"6' 0""",170.0,"73""",Southpaw,"Nov 25, 1981",2014-11-08,Warlley Alves,Decision - Unanimous,3,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
113,Alan Jouban,2015-02-28,0.5,0.54,0.0,0.0,0.0,0.0,0,12 of 25,0.48,12 of 25,0 of 0,0.0,0,0,0,7 of 18,4 of 5,1 of 2,8 of 16,4 of 9,0 of 0,"6' 0""",170.0,"73""",Southpaw,"Nov 25, 1981",2015-02-28,Alan Jouban,KO/TKO,1,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
114,Alan Jouban,2015-07-15,0.3333333333333333,0.52,0.0,0.0,0.0,0.0,1,51 of 104,0.49,63 of 116,1 of 1,1.0,0,0,0,31 of 73,11 of 18,9 of 13,36 of 74,7 of 15,8 of 15,"6' 0""",170.0,"73""",Southpaw,"Nov 25, 1981",2015-07-15,Alan Jouban,Decision - Unanimous,3,Welterweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
115,Alan Jouban,2015-10-03,0.3333333333333333,0.48999999999999994,0.3333333333333333,0.0,0.0,0.0,0,17 of 34,0.5,17 of 34,0 of 0,0.0,0,0,0,12 of 27,4 of 5,1 of 2,16 of 33,1 of 1,0 of 0,"6' 0""",170.0,"73""",Southpaw,"Nov 25, 1981",2015-10-03,Albert Tumenov,KO/TKO,1,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
116,Alan Jouban,2016-03-19,0.3333333333333333,0.48999999999999994,0.3333333333333333,0.0,0.0,0.0,1,32 of 40,0.8,37 of 45,0 of 0,0.0,0,0,0,22 of 30,9 of 9,1 of 1,11 of 15,16 of 19,5 of 6,"6' 0""",170.0,"73""",Southpaw,"Nov 25, 1981",2016-03-19,Alan Jouban,KO/TKO,1,Welterweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
117,Alan Jouban,2016-07-07,0.6666666666666666,0.5966666666666666,0.3333333333333333,0.0,0.0,0.0,3,86 of 169,0.5,105 of 191,0 of 0,0.0,0,2,0,46 of 120,20 of 26,20 of 23,65 of 136,5 of 6,16 of 27,"6' 0""",170.0,"73""",Southpaw,"Nov 25, 1981",2016-07-07,Alan Jouban,Decision - Unanimous,3,Welterweight Bout,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
118,Alan Jouban,2016-12-17,1.3333333333333333,0.5999999999999999,0.0,0.0,0.6666666666666666,0.0,1,69 of 133,0.51,69 of 133,2 of 5,0.4,0,0,0,24 of 69,16 of 34,29 of 30,66 of 129,1 of 1,2 of 3,"6' 0""",170.0,"73""",Southpaw,"Nov 25, 1981",2016-12-17,Alan Jouban,Decision - Unanimous,3,Welterweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
119,Alan Jouban,2017-03-18,1.6666666666666667,0.6033333333333332,0.13333333333333333,0.0,0.6666666666666666,0.0,0,17 of 33,0.51,17 of 33,0 of 0,0.0,0,0,0,6 of 17,2 of 7,9 of 9,17 of 33,0 of 0,0 of 0,"6' 0""",170.0,"73""",Southpaw,"Nov 25, 1981",2017-03-18,Gunnar Nelson,Submission,2,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
120,Alan Jouban,2017-08-05,1.3333333333333333,0.5066666666666665,0.13333333333333333,0.0,0.6666666666666666,0.0,0,5 of 9,0.55,5 of 9,0 of 0,0.0,0,0,0,3 of 7,1 of 1,1 of 1,5 of 9,0 of 0,0 of 0,"6' 0""",170.0,"73""",Southpaw,"Nov 25, 1981",2017-08-05,Niko Price,KO/TKO,1,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
121,Alan Jouban,2018-02-24,0.3333333333333333,0.5233333333333331,0.13333333333333333,0.0,0.0,0.0,2,78 of 141,0.55,78 of 141,0 of 0,0.0,0,1,0,53 of 109,10 of 13,15 of 19,60 of 110,16 of 28,2 of 3,"6' 0""",170.0,"73""",Southpaw,"Nov 25, 1981",2018-02-24,Alan Jouban,KO/TKO,2,Welterweight Bout,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
122,Alan Jouban,2019-04-13,0.6666666666666666,0.5366666666666664,0.0,0.0,0.3333333333333333,0.0,0,24 of 100,0.24,25 of 101,1 of 2,0.5,0,1,0,9 of 77,3 of 6,12 of 17,19 of 89,1 of 4,4 of 7,"6' 0""",170.0,"73""",Southpaw,"Nov 25, 1981",2019-04-13,Dwight Grant,Decision - Split,3,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
123,Alan Omer,2014-04-11,,,,,,,0,58 of 101,0.57,69 of 112,1 of 3,0.33,0,1,0,33 of 70,10 of 15,15 of 16,26 of 58,22 of 27,10 of 16,"5' 10""",145.0,"71""",Orthodox,"Sep 14, 1988",2014-04-11,Jim Alers,Decision - Split,3,Featherweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
124,Alan Omer,2015-06-20,0.0,0.57,0.33,0.0,1.0,0.0,0,35 of 66,0.53,85 of 125,2 of 4,0.5,0,2,0,27 of 54,5 of 8,3 of 4,20 of 45,9 of 15,6 of 6,"5' 10""",145.0,"71""",Orthodox,"Sep 14, 1988",2015-06-20,Arnold Allen,Submission,3,Featherweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
125,Alan Patrick,2013-10-09,,,,,,,1,16 of 35,0.45,19 of 42,1 of 2,0.5,0,0,0,13 of 26,0 of 6,3 of 3,8 of 25,3 of 5,5 of 5,"5' 11""",155.0,"74""",Southpaw,"Jul 19, 1983",2013-10-09,Alan Patrick,KO/TKO,1,Lightweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
126,Alan Patrick,2014-02-01,1.0,0.45,0.5,0.0,0.0,0.0,0,40 of 134,0.29,42 of 136,2 of 11,0.18,0,0,0,23 of 103,10 of 22,7 of 9,32 of 121,8 of 13,0 of 0,"5' 11""",155.0,"74""",Southpaw,"Jul 19, 1983",2014-02-01,Alan Patrick,Decision - Unanimous,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
127,Alan Patrick,2015-06-20,0.5,0.37,0.33999999999999997,0.0,0.0,0.0,0,17 of 38,0.44,17 of 38,0 of 7,0.0,0,0,0,5 of 24,8 of 10,4 of 4,15 of 35,2 of 3,0 of 0,"5' 11""",155.0,"74""",Southpaw,"Jul 19, 1983",2015-06-20,Mairbek Taisumov,KO/TKO,2,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
128,Alan Patrick,2016-03-19,0.3333333333333333,0.3933333333333333,0.22666666666666666,0.0,0.0,0.0,0,25 of 39,0.64,117 of 147,5 of 7,0.71,1,10,0,23 of 36,1 of 2,1 of 1,7 of 12,0 of 0,18 of 27,"5' 11""",155.0,"74""",Southpaw,"Jul 19, 1983",2016-03-19,Alan Patrick,Decision - Unanimous,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
129,Alan Patrick,2016-09-24,0.0,0.4566666666666666,0.29666666666666663,0.3333333333333333,3.3333333333333335,0.0,0,7 of 12,0.58,60 of 75,5 of 8,0.62,1,6,0,7 of 11,0 of 1,0 of 0,3 of 6,0 of 0,4 of 6,"5' 11""",155.0,"74""",Southpaw,"Jul 19, 1983",2016-09-24,Alan Patrick,Decision - Unanimous,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
130,Alan Patrick,2018-02-03,0.0,0.5533333333333332,0.4433333333333333,0.6666666666666666,5.333333333333333,0.0,0,28 of 45,0.62,91 of 129,9 of 15,0.6,0,6,0,20 of 35,5 of 7,3 of 3,8 of 18,3 of 4,17 of 23,"5' 11""",155.0,"74""",Southpaw,"Jul 19, 1983",2018-02-03,Alan Patrick,Decision - Unanimous,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
131,Alan Patrick,2018-10-06,0.0,0.6133333333333333,0.6433333333333332,0.6666666666666666,7.333333333333333,0.0,0,25 of 62,0.4,27 of 65,0 of 4,0.0,0,0,0,16 of 45,8 of 14,1 of 3,22 of 58,3 of 3,0 of 1,"5' 11""",155.0,"74""",Southpaw,"Jul 19, 1983",2018-10-06,Scott Holtzman,KO/TKO,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
132,Albert Cheng,2014-03-01,,,,,,,0,5 of 12,0.41,5 of 12,0 of 1,0.0,0,0,0,4 of 10,1 of 2,0 of 0,5 of 12,0 of 0,0 of 0,"5' 11""",170.0,,Orthodox,"Feb 07, 1985",2014-03-01,An Ying Wang,TKO - Doctor's Stoppage,1,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
133,Albert Morales,2016-09-17,,,,,,,0,79 of 232,0.34,81 of 234,0 of 1,0.0,0,0,0,35 of 166,7 of 13,37 of 53,75 of 216,3 of 13,1 of 3,"5' 9""",135.0,"72""",Orthodox,"May 25, 1991",2016-09-17,,Decision - Majority,3,Bantamweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
134,Albert Morales,2016-11-19,0.0,0.34,0.0,0.0,0.0,0.0,0,18 of 74,0.24,18 of 74,1 of 2,0.5,0,1,0,13 of 65,2 of 2,3 of 7,18 of 74,0 of 0,0 of 0,"5' 9""",135.0,"72""",Orthodox,"May 25, 1991",2016-11-19,Thomas Almeida,KO/TKO,2,Bantamweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
135,Albert Morales,2017-03-04,0.0,0.29000000000000004,0.25,0.0,0.5,0.0,0,56 of 132,0.42,79 of 172,1 of 3,0.33,0,1,0,34 of 103,2 of 2,20 of 27,47 of 122,3 of 4,6 of 6,"5' 9""",135.0,"72""",Orthodox,"May 25, 1991",2017-03-04,Albert Morales,Decision - Split,3,Bantamweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
136,Albert Morales,2017-07-16,0.0,0.3333333333333333,0.27666666666666667,0.0,0.6666666666666666,0.0,0,28 of 115,0.24,63 of 157,0 of 0,0.0,0,0,0,20 of 107,2 of 2,6 of 6,23 of 109,0 of 0,5 of 6,"5' 9""",135.0,"72""",Orthodox,"May 25, 1991",2017-07-16,Brett Johns,Decision - Unanimous,3,Bantamweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
137,Albert Morales,2017-12-09,0.0,0.3,0.27666666666666667,0.0,0.6666666666666666,0.0,0,78 of 198,0.39,109 of 252,0 of 1,0.0,0,0,0,45 of 154,14 of 21,19 of 23,73 of 186,5 of 12,0 of 0,"5' 9""",135.0,"72""",Orthodox,"May 25, 1991",2017-12-09,Benito Lopez,Decision - Unanimous,3,Bantamweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
138,Albert Morales,2018-02-24,0.0,0.35000000000000003,0.11000000000000003,0.0,0.3333333333333333,0.0,0,19 of 54,0.35,30 of 66,1 of 1,1.0,0,1,1,16 of 50,1 of 2,2 of 2,12 of 43,0 of 0,7 of 11,"5' 9""",135.0,"72""",Orthodox,"May 25, 1991",2018-02-24,Manny Bermudez,Submission,2,Bantamweight Bout,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
139,Albert Tumenov,2014-02-15,,,,,,,0,32 of 71,0.45,50 of 99,1 of 1,1.0,0,0,1,27 of 64,3 of 5,2 of 2,12 of 36,6 of 7,14 of 28,"5' 11""",170.0,"73""",Orthodox,"Dec 26, 1991",2014-02-15,Ildemar Alcantara,Decision - Split,3,Welterweight Bout,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
140,Albert Tumenov,2014-05-10,0.0,0.45,1.0,0.0,0.0,1.0,2,6 of 21,0.28,6 of 21,0 of 0,0.0,0,0,0,6 of 21,0 of 0,0 of 0,5 of 18,1 of 3,0 of 0,"5' 11""",170.0,"73""",Orthodox,"Dec 26, 1991",2014-05-10,Albert Tumenov,KO/TKO,1,Welterweight Bout,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
141,Albert Tumenov,2014-10-04,1.0,0.365,0.5,0.0,0.0,0.5,2,4 of 12,0.33,4 of 12,0 of 0,0.0,0,0,0,4 of 12,0 of 0,0 of 0,2 of 7,0 of 0,2 of 5,"5' 11""",170.0,"73""",Orthodox,"Dec 26, 1991",2014-10-04,Albert Tumenov,KO/TKO,1,Welterweight Bout,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
142,Albert Tumenov,2015-01-24,1.3333333333333333,0.35333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0,87 of 201,0.43,87 of 201,0 of 1,0.0,0,0,0,81 of 181,4 of 17,2 of 3,83 of 196,4 of 4,0 of 1,"5' 11""",170.0,"73""",Orthodox,"Dec 26, 1991",2015-01-24,Albert Tumenov,Decision - Unanimous,3,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
143,Albert Tumenov,2015-10-03,1.3333333333333333,0.3466666666666667,0.0,0.0,0.0,0.0,1,19 of 41,0.46,19 of 41,0 of 1,0.0,0,0,0,16 of 36,3 of 4,0 of 1,18 of 40,1 of 1,0 of 0,"5' 11""",170.0,"73""",Orthodox,"Dec 26, 1991",2015-10-03,Albert Tumenov,KO/TKO,1,Welterweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
144,Albert Tumenov,2016-01-02,1.0,0.4066666666666667,0.0,0.0,0.0,0.0,0,76 of 194,0.39,76 of 194,0 of 2,0.0,0,0,0,52 of 167,19 of 22,5 of 5,71 of 184,5 of 10,0 of 0,"5' 11""",170.0,"73""",Orthodox,"Dec 26, 1991",2016-01-02,Albert Tumenov,Decision - Split,3,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
145,Albert Tumenov,2016-05-08,0.3333333333333333,0.4266666666666666,0.0,0.0,0.0,0.0,0,23 of 41,0.56,24 of 43,0 of 0,0.0,0,0,0,9 of 27,12 of 12,2 of 2,21 of 37,2 of 3,0 of 1,"5' 11""",170.0,"73""",Orthodox,"Dec 26, 1991",2016-05-08,Gunnar Nelson,Submission,2,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
146,Albert Tumenov,2016-10-08,0.3333333333333333,0.47,0.0,0.0,0.0,0.0,0,32 of 83,0.38,34 of 86,0 of 0,0.0,0,0,0,28 of 75,3 of 7,1 of 1,31 of 80,1 of 3,0 of 0,"5' 11""",170.0,"73""",Orthodox,"Dec 26, 1991",2016-10-08,Leon Edwards,Submission,3,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
147,Alberta Cerra Leon,1994-03-11,,,,,,,0,1 of 3,0.33,9 of 11,0 of 0,0.0,0,0,0,1 of 3,0 of 0,0 of 0,1 of 1,0 of 0,0 of 2,"5' 8""",238.0,,,,1994-03-11,Remco Pardoel,Submission,1,Open Weight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
148,Alberto Crane,2007-08-25,,,,,,,0,4 of 6,0.66,14 of 16,0 of 7,0.0,3,3,2,0 of 1,2 of 2,2 of 3,4 of 6,0 of 0,0 of 0,"5' 5""",155.0,,Orthodox,"Jul 14, 1976",2007-08-25,Roger Huerta,KO/TKO,3,Lightweight Bout,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
149,Alberto Crane,2008-01-23,0.0,0.66,0.0,3.0,3.0,2.0,1,4 of 26,0.15,12 of 36,0 of 4,0.0,2,0,0,3 of 24,1 of 2,0 of 0,4 of 26,0 of 0,0 of 0,"5' 5""",155.0,,Orthodox,"Jul 14, 1976",2008-01-23,Kurt Pellegrino,KO/TKO,2,Lightweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
150,Alberto Mina,2014-08-23,,,,,,,1,34 of 58,0.58,38 of 62,0 of 2,0.0,0,1,1,30 of 53,4 of 5,0 of 0,22 of 44,3 of 5,9 of 9,"6' 0""",170.0,"77""",Orthodox,"May 02, 1982",2014-08-23,Alberto Mina,KO/TKO,1,Welterweight Bout,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
151,Alberto Mina,2015-11-28,1.0,0.58,0.0,0.0,1.0,1.0,1,69 of 153,0.45,84 of 180,2 of 15,0.13,0,0,0,46 of 125,5 of 7,18 of 21,56 of 130,10 of 19,3 of 4,"6' 0""",170.0,"77""",Orthodox,"May 02, 1982",2015-11-28,Alberto Mina,Decision - Split,3,Welterweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
152,Alberto Mina,2016-07-07,1.0,0.515,0.065,0.0,0.5,0.5,1,16 of 43,0.37,27 of 57,2 of 2,1.0,0,0,0,12 of 36,1 of 3,3 of 4,7 of 24,0 of 0,9 of 19,"6' 0""",170.0,"77""",Orthodox,"May 02, 1982",2016-07-07,Alberto Mina,KO/TKO,2,Welterweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
153,Alberto Mina,2018-05-12,1.0,0.4666666666666666,0.37666666666666665,0.0,0.3333333333333333,0.3333333333333333,0,12 of 82,0.14,16 of 87,1 of 5,0.2,0,0,0,5 of 65,3 of 11,4 of 6,11 of 79,1 of 2,0 of 1,"6' 0""",170.0,"77""",Orthodox,"May 02, 1982",2018-05-12,Ramazan Emeev,Decision - Unanimous,3,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
154,Alberto Uda,2016-05-29,,,,,,,0,15 of 27,0.55,28 of 40,1 of 2,0.5,0,1,1,12 of 19,3 of 5,0 of 3,3 of 12,11 of 13,1 of 2,"6' 3""",185.0,"77""",Orthodox,"Aug 08, 1984",2016-05-29,Jake Collier,KO/TKO,2,Middleweight Bout,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
155,Alberto Uda,2016-08-20,0.0,0.55,0.5,0.0,1.0,1.0,0,4 of 9,0.44,21 of 27,1 of 2,0.5,0,0,0,3 of 8,1 of 1,0 of 0,1 of 5,0 of 0,3 of 4,"6' 3""",185.0,"77""",Orthodox,"Aug 08, 1984",2016-08-20,Marvin Vettori,Submission,1,Middleweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
156,Alejandro Perez,2014-11-15,,,,,,,0,38 of 130,0.29,43 of 135,1 of 2,0.5,1,1,0,19 of 92,3 of 5,16 of 33,38 of 126,0 of 4,0 of 0,"5' 6""",135.0,"67""",Orthodox,"Sep 02, 1989",2014-11-15,Alejandro Perez,Decision - Unanimous,3,Ultimate Fighter Latin America Bantamweight Tournament Title Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
157,Alejandro Perez,2015-06-13,0.0,0.29,0.5,1.0,1.0,0.0,0,0 of 1,0.0,0 of 1,0 of 1,0.0,0,0,0,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,"5' 6""",135.0,"67""",Orthodox,"Sep 02, 1989",2015-06-13,Patrick Williams,Submission,1,Bantamweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
158,Alejandro Perez,2015-11-21,0.0,0.145,0.25,0.5,0.5,0.0,0,39 of 91,0.42,42 of 94,0 of 0,0.0,0,0,0,19 of 59,6 of 9,14 of 23,31 of 78,2 of 4,6 of 9,"5' 6""",135.0,"67""",Orthodox,"Sep 02, 1989",2015-11-21,Alejandro Perez,KO/TKO,2,Bantamweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
159,Alejandro Perez,2016-04-10,0.0,0.23666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0,48 of 67,0.71,87 of 115,0 of 0,0.0,0,1,0,48 of 67,0 of 0,0 of 0,2 of 4,0 of 0,46 of 63,"5' 6""",135.0,"67""",Orthodox,"Sep 02, 1989",2016-04-10,Alejandro Perez,KO/TKO,1,Bantamweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
160,Alejandro Perez,2016-09-17,0.0,0.37666666666666665,0.0,0.0,0.3333333333333333,0.0,0,61 of 167,0.36,68 of 174,1 of 3,0.33,0,0,0,43 of 144,3 of 3,15 of 20,52 of 147,4 of 10,5 of 10,"5' 6""",135.0,"67""",Orthodox,"Sep 02, 1989",2016-09-17,,Decision - Majority,3,Bantamweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
